thesaurus_title, gcmd_keyword
"GCMD Keywords", "Earth Science | Human Dimensions | Environmental Governance/Management | Water Management"
"GCMD Keywords", "Earth Science | Atmosphere | Atmospheric Temperature | Potential Temperature"
"Global Change Master Directory Earth Science keywords v.5.3.8", "Biosphere | Zoology | Mollusks"
"NASA/Global Change Master Directory (GCMD) Earth Science Keywords. Version 5.3.8", "Oceans | Bathymetry | Seafloor Topography"
"Global change Master Directory Earth Science Keywords v.5.3.8", "Hydrosphere | Surface Water | Total Surface Water"
"NASA/GCMD Earth Science Keywords", "TEMPERATURE SENSORS"
"NASA/GCMD Earth Science Keywords", "EARTH SCIENCE > OCEANS > MARINE GEOPHYSICS > MARINE MAGNETICS"
"NASA/Global Change Master Directory (GCMD) Earth Science Keywords. Version 5.3.8", "Oceans | Salinity/density | Density"
"NASA/GCMD Earth Science Keywords", "Radar Altimeters"
"NASA/Global Change Master Directory (GCMD) Earth Science Keywords. Version 5.3.8", "Oceans | Ocean Temperature | Thermocline"
"GCMD Keywords", "Earth Science | Human Dimensions | Environmental Impacts | Heavy Metals Concentration"
"NASA/GCMD Earth Science Keywords", "EARTH SCIENCE > TERRESTRIAL HYDROSPHERE > SNOW/ICE > SNOW COVER"
"GCMD Keywords", "Earth Science | Biosphere | Aquatic Ecosystems | Wetlands | Marine"
"NASA/GCMD Earth Science Keywords", "LANDSAT-4"
"NASA/GCMD Earth Science Keywords", "EARTH SCIENCE > ATMOSPHERE > ATMOSPHERIC TEMPERATURE > SURFACE TEMPERATURE > TEMPERATURE ANOMALIES"
"NASA/Global Change Master Directory Earth Science Keywords Version 5.3.8", "Biosphere | Vegetation | Macroalgae"
"NASA/GCMD Earth Science Keywords", "CONTINENT > ANTARCTICA > ROSS ISLAND"
"Global Change Master Directory (GCMD) Earth Science Keywords Version 8.0", "EARTH SCIENCE | BIOSPHERE | ECOLOGICAL DYNAMICS | SPECIES/POPULATION INTERACTIONS | MIGRATORY RATES/ROUTES"
"GCMD Keywords", "Earth Science | Atmosphere | Atmospheric Water Vapor"
"NASA/GCMD Earth Science Keywords", "OCEAN > SOUTHERN OCEAN > SOUTHEAST INDIAN SECTOR"
"Global Change Master Directory Earth Science Keywords, Version 8.5", "EARTH SCIENCE | BIOSPHERE | ECOLOGICAL DYNAMICS | SPECIES/POPULATION INTERACTIONS | SPECIES PREDATION"
"GCMD Keywords", "Earth Science | Land Surface | Soils | Soil Moisture/Water Content"
"NASA/GCMD Earth Science Keywords", "EARTH SCIENCE > PALEOCLIMATE > ICE CORE RECORDS"
"NASA/GCMD Keywords, Version 8.5", "EARTH SCIENCE | HUMAN DIMENSIONS | INFRASTRUCTURE"
"Global Change Master Directory Earth Science Keywords v.5.3.8", "Biosphere | Aquatic Habitat | Estuarine Habitat"
"NASA/Global Change Master Directory (GCMD) Earth Science Keywords. Version 5.3.8", "Oceans | Water Quality | Water Temperature"
"GCMD Keywords", "Earth Science | Atmosphere | Atmospheric Chemistry | Oxygen Compounds | Ozone"
"GCMD Keywords", "Earth Science | Atmosphere | Clouds | Cloud Properties | Cloud Vertical Distribution"
"NASA/GCMD Keywords, Version 8.5", "EARTH SCIENCE | BIOSPHERE | ECOSYSTEMS"
"NASA/GCMD Earth Science Keywords", "EARTH SCIENCE > OCEANS > OCEAN CHEMISTRY > NITRATE"
"NASA/GCMD Earth Science Keywords", "CAMERA"
"Global Change Master Directory Earth Science Keywords, Version 8.5", "EARTH SCIENCE | BIOLOGICAL CLASSIFICATION | PLANTS | MICROALGAE | DINOFLAGELLATES"
"NASA/GCMD Earth Science Keywords", "OCEAN > SOUTHERN OCEAN > NATURALISTE PLATEAU"
"GCMD Keywords", "Earth Science | Biosphere | Aquatic Ecosystems | Rivers/Stream Habitat"
"NASA/GCMD Earth Science Keywords", "EARTH SCIENCE > CRYOSPHERE > FROZEN GROUND"
"NASA/GCMD Earth Science Keywords", "OCEAN > SOUTHERN OCEAN > GEORGE V BASIN"
"NASA/GCMD Earth Science Keywords", "EARTH SCIENCE > ATMOSPHERE > ATMOSPHERIC WINDS > SURFACE WINDS > WIND SPEED"
"NASA/GCMD Keywords, Version 8.5", "EARTH SCIENCE | BIOSPHERE | ECOSYSTEMS | ANTHROPOGENIC/HUMAN INFLUENCED ECOSYSTEMS | URBAN LANDS | PARK"
"NASA/Global Change Master Directory Earth Science Keywords Version 5.3.8", "Oceans | Marine Biology | Marine Birds"
"GCMD Keywords", "Earth Science | Land Surface | Erosion/Sedimentation | Sedimentation"
